Mã CK,ROE Năm (%),Tăng trưởng LNST (%),P/E,D/E,Tăng_trưởng_YoY_thật,ROE_TTM_thật
NED,90.9,175.4,7.3,N/A,False,True
MHC,27.2,342.6,3.1,N/A,False,True
GVT,22.3,516.0,9.8,N/A,False,True
NO1,114.5,37.9,7.3,N/A,False,True
TTE,195.4,3062.8,12.0,N/A,False,True
BIG,238.3,3452.2,2.5,N/A,False,True
POS,12.3,135.4,6.0,N/A,False,True
TCL,23.2,78.2,6.6,N/A,False,True
SDC,136.8,188.3,8.9,N/A,False,True
SDV,20.8,19.4,15.7,N/A,False,True
FMC,14.7,338.6,6.3,N/A,False,True
BHN,72.4,260.3,15.4,N/A,False,True
L18,19.3,790.0,6.8,N/A,False,True
THN,14.9,72.6,2.0,N/A,False,True
TCB,15.4,16.1,9.8,N/A,False,True
D11,95.5,58.9,9.6,N/A,False,True
PTM,119.1,886.5,15.5,N/A,False,True
GMX,14.9,266.8,7.6,N/A,False,True
NBC,128.7,145.8,7.8,N/A,False,True
VGS,18.3,89.1,6.8,N/A,False,True
DWS,14.0,259.8,7.5,N/A,False,True
HJS,12.8,72.5,14.3,N/A,False,True
PAS,69.1,7885.7,5.1,N/A,False,True
LCG,81.9,193.2,13.1,N/A,False,True
SBA,17.1,88.0,10.2,N/A,False,True
HAH,25.4,31.6,6.9,N/A,False,True
EVE,93.3,630.9,11.3,N/A,False,True
SAB,18.4,39.9,14.2,N/A,False,True
CIA,66.2,105.3,8.6,N/A,False,True
HPD,38.0,95.6,5.8,N/A,False,True
SMC,45.9,271142.6,4.7,N/A,False,True
SBH,30.3,449.8,9.1,N/A,False,True
FOC,20.8,152.9,7.5,N/A,False,True
CKD,82.5,2918.0,5.7,N/A,False,True
S72,64.9,128.5,10.5,N/A,False,True
AIG,14.1,25.1,9.1,N/A,False,True
PPS,87.3,321.4,10.3,N/A,False,True
FDC,38.6,1564.5,2.9,N/A,False,True
PPI,215.0,33.2,-9.4,N/A,False,True
AMS,96.7,220.0,7.2,N/A,False,True
CKG,46.5,67.3,14.3,N/A,False,True
CSC,78.7,174.7,12.1,N/A,False,True
PPH,22.6,29.9,4.6,N/A,False,True
DTC,100.5,38.0,-2.4,N/A,False,True
CMD,13.0,65.7,8.5,N/A,False,True
MSH,29.3,132.8,4.6,N/A,False,True
MNB,23.1,64.3,3.8,N/A,False,True
TDC,18.0,522.1,4.9,N/A,False,True
SD2,22.7,324.1,7.0,N/A,False,True
ANV,30.8,90.6,6.8,N/A,False,True
EID,60.6,264.1,5.7,N/A,False,True
NAF,14.8,137.3,16.3,N/A,False,True
BTD,20.9,73.6,9.8,N/A,False,True
YBM,13.3,282.7,5.5,N/A,False,True
CLC,20.1,29.2,8.1,N/A,False,True
CMM,12.4,52.7,15.5,N/A,False,True
GDW,59.4,2085.9,8.7,N/A,False,True
VE9,26.5,459.3,16.8,N/A,False,True
ABR,99.8,63.4,16.6,N/A,False,True
L35,15.4,108.2,-13.1,N/A,False,True
TTL,84.9,28.6,7.2,N/A,False,True
SDK,37.7,288.7,16.6,N/A,False,True
QTP,81.7,279.5,5.3,N/A,False,True
